text,l1,child_id,age,source_file
my birthday's finished ah um it i don't know when i go to grade one it's my birthday um mrs em and mrs bee um two of them yes i like everything but i just i don't like blocks i don't like it everybody fight with blocks nobody giving that to me nobody giving that to her and they say doesn't want to give me blocks um paint and house and school and paint and draw,Farsi,BNFS1,73,bnfs1.cha
and clara clara's my best friend and another girl was friend and play game um book and game a t rex no i told you before um he doesn't want to scare you not he did she did eat fish and that's uh dinosaur um skipping ro i love the skipping ro and games are and tire t um you swing i paint tree and butterfly i think some paint i all the time reading,Farsi,BNFS1,73,bnfs1.cha
my mom and dad reading for a story mm and then i write i go to school then my mom say then i go by myself no mommy nobody come and ah take me only just my brother i cause sometime he come late sometime he's going somewhere go and come back and my mom saying come on yassir his name is yassir then then my mom say come on yassir then she doesn't want she um she's a boy,Farsi,BNFS1,73,bnfs1.cha
aw come on he she he come in she's come a school and um she's playing soccer yeah i have a one barbie mm i have a barbie and one doll then i have a one barbie then i do something my barbie doing something i dance and he my barbie dance just not like my's yeah she have um a doll and barbies i have a two barbie and then my sister have a two barbie,Farsi,BNFS1,73,bnfs1.cha
yellow one one doll one small barbie and one big barbie yeah and books mm uh halloween the is toy halloween they shake her pen they shake her um then they go shake all be all people get a a spiderman spiderman do it and then spiderman do it do it ah um spiderman can fight then spiderman can shake spiderman can um go spiderman collect pictures spiderman can do bunnies spiderman can do um shake,Farsi,BNFS1,73,bnfs1.cha
spiderman can do um paint i don't know um no i just baby it's too hot and rain it's too hot that's why i come canada my dad come to see canada then i come then my mom and my brother sister all people come here i don't like apple really because my teeth come out um i like strawberry i don't know oh i've forgotten the name yeah orange and strawberry and i eat the strawberry ice cream,Farsi,BNFS1,73,bnfs1.cha
then i have a white ice cream i don't know no my brother big brother is going mcdonald's the me and me and my brother uh m me and my brother are going to school my little sister not going school i go to grade one then they she go grade no kindergarten no i don't know what she doing she never go uh on down school just come school here work at mcdonald's because um i have a,Farsi,BNFS1,73,bnfs1.cha
i'm gonna work work all the time i have a money and i have a buy um ah fruits that's why i go i don't know how to do a doctor then mcdonald's finished i'm gonna k i'm go k course and doctor i told you um i like babies babies grow up then i let them go i'm not allowed to go i'm not allowed to go in my baby house i don't have a baby,Farsi,BNFS1,73,bnfs1.cha
i like i have i like i have a sticker baby mm game game game bunny no i like ah my teacher to let me you play game all the time with friends and friend let me you play game i play game all the time come on binofsha come and play outside and go upstair play school oh um you have to draw something you have to read a card and they make something and a red going outside,Farsi,BNFS1,73,bnfs1.cha
red can go you have to move the cars um red can go cartoon um teddy bear um and little bear yeah and bunny i see um yoyo and dragon ball z and powerpuff girls powerpuff girl fighting all the time cause professor saying no no no powerpuff girl um one of them is blossom and one of them is bubble one of them is buttercup i love i have uh blossom no i am blossom um you're buttercup,Farsi,BNFS1,73,bnfs1.cha
uh i don't like ah majujur majujur is always fighting with powerpuff girl i have the my teacher have the that book i wish for star um k cause it's colour blue it's colour rainbow i don't like s sun sun is very hot sun is coming in my house i go to quickly and y m c a nobody catching at me they just swim you have to you have to go high,Farsi,BNFS1,73,bnfs1.cha
and then you have to jump on then it can it can't hurt on you i jump and then i go like this it my dad and my mom i went go a school no i did yesterday i wa i was um i hurt my toes cause i run and i and i run i fall down dyou wanna see i didn't cry you have to give baby toy no babies like um doll um done my work,Farsi,BNFS1,73,bnfs1.cha
mm valentine's day what i mean yeah i woke up then then i go to school no i don't want i don't have it i have it not morning i don't want it um eat my mom saying go go you can't eat on here bus is going no eating bus mm no it's very slow i like car it's going fast faster then i go to car i don't like really car,Farsi,BNFS1,73,bnfs1.cha
it's going it's going it's hot on there mm yeah bus and car i like a rain i make ball i make snow i sit her bump then i sit on my bump in snow i make i make um me i make b i make me um yeah big bear um make candies for us no um i my teacher say you have to you have to get uh you have to get uh candy for halloween,Farsi,BNFS1,73,bnfs1.cha
and then it you have to ask and you have to tell everybody ah you have to say to everybody trick or treat and then they give you the chocolate candies i don't like bubble gum i put bubble gum on my garbage um my teacher saying don't everybody giving the bubble can um can say no thank you i don't want it um cause my teacher saying you can't eat on classroom,Farsi,BNFS1,73,bnfs1.cha
you have to eat your um home somewhere you can't eat classroom yeah you can't kr you can't eat classroom because is there so soft that you have to put bubble gum on ah you don't want to eat it you have to put garbage you can't put on here i like candies yeah my teacher want more give me kan tsha bubble gums then i eat it then i put garbage my teacher said,Farsi,BNFS1,73,bnfs1.cha
do you want to it talk it to everyone you have to do like this yayayaya you have to do like that it's colour um my barbie um shirt is pink and i have a one barbie then i missed ed all of it ah then i have a new barbie hairs is like a monkey is going up like this way i remember one more he looks like a monkey,Farsi,BNFS1,73,bnfs1.cha
and i have one doll he have a good face and t rex and i like a t rex um face and like a nose cause it's kissing uh my teacher say you can't kiss dinosaur they will get um kiss you too um is easy you have to on games i have a games that colour red you have to draw something a b c d or i can draw one yeah it's easy,Farsi,BNFS1,73,bnfs1.cha
yeah i can draw um sun i'm draw one i forgot nine i'm gonna put here um i dunno i'm going um it's far away um i don't like it i know how um i don't like farsi i don't like it i can i can write um i can write one and i can write um ah abc my mom can write it mom all the time is working farsi,Farsi,BNFS1,73,bnfs1.cha
